GEO.id,GEO.id2,GEO.display-label,D001
Id,Id2,Geography,Total
0500000US08111,08111,"San Juan County, Colorado",699
0500000US08113,08113,"San Miguel County, Colorado",7359
0500000US08115,08115,"Sedgwick County, Colorado",2379
0500000US08117,08117,"Summit County, Colorado",27994
0500000US08119,08119,"Teller County, Colorado",23350
0500000US08121,08121,"Washington County, Colorado",4814
0500000US08123,08123,"Weld County, Colorado",252825
0500000US08125,08125,"Yuma County, Colorado",10043
0500000US09001,09001,"Fairfield County, Connecticut",916829
0500000US09003,09003,"Hartford County, Connecticut",894014
0500000US09005,09005,"Litchfield County, Connecticut",189927
0500000US09007,09007,"Middlesex County, Connecticut",165676
0500000US09009,09009,"New Haven County, Connecticut",862477
0500000US09011,09011,"New London County, Connecticut",274055
0500000US09013,09013,"Tolland County, Connecticut",152691
0500000US09015,09015,"Windham County, Connecticut",118428
0500000US10001,10001,"Kent County, Delaware",162310
0500000US10003,10003,"New Castle County, Delaware",538479
0500000US10005,10005,"Sussex County, Delaware",197145
0500000US11001,11001,"District of Columbia, District of Columbia",601723(r37193)
0500000US12001,12001,"Alachua County, Florida",247336
0500000US12003,12003,"Baker County, Florida",27115
0500000US12005,12005,"Bay County, Florida",168852
0500000US12007,12007,"Bradford County, Florida",28520
0500000US12009,12009,"Brevard County, Florida",543376
0500000US12011,12011,"Broward County, Florida",1748066
0500000US12013,12013,"Calhoun County, Florida",14625
0500000US12015,12015,"Charlotte County, Florida",159978
0500000US12017,12017,"Citrus County, Florida",141236
0500000US12019,12019,"Clay County, Florida",190865
0500000US12021,12021,"Collier County, Florida",321520
0500000US12023,12023,"Columbia County, Florida",67531
0500000US12027,12027,"DeSoto County, Florida",34862
0500000US12029,12029,"Dixie County, Florida",16422
0500000US12031,12031,"Duval County, Florida",864263
0500000US12033,12033,"Escambia County, Florida",297619
0500000US12035,12035,"Flagler County, Florida",95696
0500000US12037,12037,"Franklin County, Florida",11549
0500000US12039,12039,"Gadsden County, Florida",46389
0500000US12041,12041,"Gilchrist County, Florida",16939
0500000US12043,12043,"Glades County, Florida",12884
0500000US12045,12045,"Gulf County, Florida",15863
0500000US12047,12047,"Hamilton County, Florida",14799
0500000US12049,12049,"Hardee County, Florida",27731
0500000US12051,12051,"Hendry County, Florida",39140
0500000US12053,12053,"Hernando County, Florida",172778
0500000US12055,12055,"Highlands County, Florida",98786
0500000US12057,12057,"Hillsborough County, Florida",1229226
0500000US12059,12059,"Holmes County, Florida",19927
0500000US12061,12061,"Indian River County, Florida",138028
0500000US12063,12063,"Jackson County, Florida",49746
0500000US12065,12065,"Jefferson County, Florida",14761
0500000US12067,12067,"Lafayette County, Florida",8870
0500000US12069,12069,"Lake County, Florida",297052(r37850)
0500000US12071,12071,"Lee County, Florida",618754
0500000US12073,12073,"Leon County, Florida",275487
0500000US12075,12075,"Levy County, Florida",40801
0500000US12077,12077,"Liberty County, Florida",8365
0500000US12079,12079,"Madison County, Florida",19224
0500000US12081,12081,"Manatee County, Florida",322833
0500000US12083,12083,"Marion County, Florida",331298(r37953)
0500000US12085,12085,"Martin County, Florida",146318
