GEOID,Name,state_new,,,,,
05000US06077,"San Joaquin County, California",CC,,,,,
05000US06079,"San Luis Obispo County, California",GC,,,,,
05000US06081,"San Mateo County, California",GC,,,,,
05000US06083,"Santa Barbara County, California",SO,,,,,
05000US06085,"Santa Clara County, California",GC,,,,,
05000US06087,"Santa Cruz County, California",GC,,,,,
05000US06089,"Shasta County, California",RW,,,,,
05000US06091,"Sierra County, California",DS,,,,,
05000US06093,"Siskiyou County, California",RW,,,,,
05000US06095,"Solano County, California",CC,,,,,
05000US06097,"Sonoma County, California",RW,,,,,
05000US06099,"Stanislaus County, California",CC,,,,,
05000US06101,"Sutter County, California",RW,,,,,
05000US06103,"Tehama County, California",RW,,,,,
05000US06105,"Trinity County, California",RW,,,,,
05000US06107,"Tulare County, California",CC,,,,,
05000US06109,"Tuolumne County, California",DS,,,,,
05000US06111,"Ventura County, California",SO,,,,,
05000US06113,"Yolo County, California",RW,,,,,
05000US06115,"Yuba County, California",RW,,,,,
05000US08001,"Adams County, Colorado",CD,,,,,
05000US08003,"Alamosa County, Colorado",DS,,,,,
05000US08005,"Arapahoe County, Colorado",CD,,,,,
05000US08007,"Archuleta County, Colorado",DS,,,,,
05000US08009,"Baca County, Colorado",SF,,,,,
05000US08011,"Bent County, Colorado",SF,,,,,
05000US08013,"Boulder County, Colorado",CD,,,,,
05000US08014,"Broomfield County, Colorado",CD,,,,,
05000US08015,"Chaffee County, Colorado",DS,,,,,
05000US08017,"Cheyenne County, Colorado",SF,,,,,
05000US08019,"Clear Creek County, Colorado",DS,,,,,
05000US08021,"Conejos County, Colorado",DS,,,,,
05000US08023,"Costilla County, Colorado",CD,,,,,
05000US08025,"Crowley County, Colorado",SF,,,,,
05000US08027,"Custer County, Colorado",CD,,,,,
05000US08029,"Delta County, Colorado",DS,,,,,
05000US08031,"Denver County, Colorado",CD,,,,,
05000US08033,"Dolores County, Colorado",DS,,,,,
05000US08035,"Douglas County, Colorado",CD,,,,,
05000US08037,"Eagle County, Colorado",DS,,,,,
05000US08039,"Elbert County, Colorado",SF,,,,,
05000US08041,"El Paso County, Colorado",CD,,,,,
05000US08043,"Fremont County, Colorado",CD,,,,,
05000US08045,"Garfield County, Colorado",DS,,,,,
05000US08047,"Gilpin County, Colorado",DS,,,,,
05000US08049,"Grand County, Colorado",DS,,,,,
05000US08051,"Gunnison County, Colorado",DS,,,,,
05000US08053,"Hinsdale County, Colorado",DS,,,,,
05000US08055,"Huerfano County, Colorado",CD,,,,,
05000US08057,"Jackson County, Colorado",DS,,,,,
05000US08059,"Jefferson County, Colorado",CD,,,,,
05000US08061,"Kiowa County, Colorado",SF,,,,,
05000US08063,"Kit Carson County, Colorado",SF,,,,,
05000US08065,"Lake County, Colorado",DS,,,,,
05000US08067,"La Plata County, Colorado",DS,,,,,
