GEOID,state_new
05000US16007,DS
05000US16009,SY
05000US16011,SY
05000US16013,SY
05000US16015,SY
05000US16017,SY
05000US16019,SY
05000US16021,SY
05000US16023,SY
05000US16025,SY
05000US16027,SY
05000US16029,DS
05000US16031,DS
05000US16033,SY
05000US16035,SY
05000US16037,SY
05000US16039,SY
05000US16041,DS
05000US16043,SY
05000US16045,SY
05000US16047,SY
05000US16049,SY
05000US16051,SY
05000US16053,DS
05000US16055,SY
05000US16057,SY
05000US16059,SY
05000US16061,SY
05000US16063,DS
05000US16065,SY
05000US16067,SY
05000US16069,SY
05000US16071,DS
05000US16073,DS
05000US16075,SY
05000US16077,DS
05000US16079,SY
05000US16081,SY
05000US16083,DS
05000US16085,SY
05000US16087,SY
05000US17001,LI
05000US17003,BR
05000US17005,LI
05000US17007,SL
05000US17009,LI
05000US17011,LI
05000US17013,LI
05000US17015,LI
05000US17017,LI
05000US17019,LI
05000US17021,LI
05000US17023,LI
05000US17025,LI
05000US17027,LI
05000US17029,LI
05000US17031,XXXXX
05000US17033,LI
05000US17035,LI
05000US17037,SL
05000US17039,LI
05000US17041,LI
05000US17043,XXXXX
05000US17045,LI
05000US17047,OV
05000US17049,LI
05000US17051,LI
05000US17053,SL
05000US17055,LI
05000US17057,LI
05000US17059,OV
05000US17061,LI
05000US17063,SL
05000US17065,OV
05000US17067,LI
05000US17069,OV
05000US17071,LI
05000US17073,LI
05000US17075,SL
05000US17077,LI
05000US17079,LI
05000US17081,LI
05000US17083,LI
05000US17085,LI
05000US17087,LI
05000US17089,XXXXX
05000US17091,SL
05000US17093,XXXXX
05000US17095,LI
05000US17097,CL
05000US17099,SL
05000US17101,OV
05000US17103,LI
05000US17105,SL
05000US17107,LI
05000US17109,LI
05000US17111,SL
05000US17113,LI
05000US17115,LI
05000US17117,LI
05000US17119,LI
05000US17121,LI
05000US17123,LI
05000US17125,LI
05000US17127,OV
05000US17129,LI
05000US17131,LI
05000US17133,LI
05000US17135,LI
05000US17137,LI
